"Date","Primary Sales USD"
"2020-01-05",46293875.42
"2020-01-06",46302443.63
"2020-01-07",46320331.18
"2020-01-08",46334121.56
"2020-01-09",46340757.52
"2020-01-10",46353915.3
"2020-01-11",46363437.78
"2020-01-12",46377701.46
"2020-01-13",46390404.46
"2020-01-14",46398476.64
"2020-01-15",46414975.28
"2020-01-16",46429569.66
"2020-01-17",46442966.62
"2020-01-18",46454916.6
"2020-01-19",46468869.84
"2020-01-20",46488136.22
"2020-01-21",46505436.03
"2020-01-22",46531973.05
"2020-01-23",46650979.3
"2020-01-24",46678757.14
"2020-01-25",46699725.73
"2020-01-26",46721764.05
"2020-01-27",46736441.63
"2020-01-28",46756432.12
"2020-01-29",46777084.92
"2020-01-30",46793640.82
"2020-01-31",46831577.28
"2020-02-01",46856000.79
"2020-02-02",46878198.2
"2020-02-03",46902304.77
"2020-02-04",46914947.02
"2020-02-05",46939031.33
"2020-02-06",46956082.92
"2020-02-07",46972216.2
"2020-02-08",46988415.54
"2020-02-09",47011928.97
"2020-02-10",47034931.01
"2020-02-11",47233163.31
"2020-02-12",47266046.91
"2020-02-13",47296424.2
"2020-02-14",47318946.41
"2020-02-15",47343967.88
"2020-02-16",47366705.7
"2020-02-17",47390577.54
"2020-02-18",47419143.26
"2020-02-19",47449878.19
"2020-02-20",47482808.43
"2020-02-21",47517549.01
"2020-02-22",47547436.88
"2020-02-23",47570253.3
"2020-02-24",47601594.45
"2020-02-25",47624995.37
"2020-02-26",47645221.13
"2020-02-27",47673150
"2020-02-28",47704397.91
"2020-02-29",47732944.12
"2020-03-01",47754249.7
"2020-03-02",47777428.34
"2020-03-03",47811291.36
"2020-03-04",47842078.76
"2020-03-05",47858373.19
"2020-03-06",47876153.42
"2020-03-07",47896872.02
"2020-03-08",47916624.26
"2020-03-09",47942087.58
"2020-03-10",47965729.39
"2020-03-11",47978641.99
"2020-03-12",47986879.09
"2020-03-13",47994339.37
"2020-03-14",48003231.38
"2020-03-15",48016991.06
"2020-03-16",48024934.92
"2020-03-17",48033980.73
"2020-03-18",48046338.01
"2020-03-19",48058153.2
"2020-03-20",48074502.36
"2020-03-21",48093905.9
"2020-03-22",48134518.84
"2020-03-23",48154186.88
"2020-03-24",48167123.16
"2020-03-25",48177426.76
"2020-03-26",48192654.77
"2020-03-27",48208931.45
"2020-03-28",48233538.47
"2020-03-29",48255951.59
"2020-03-30",48276138.9
"2020-03-31",48727902.78
"2020-04-01",48751084.33
"2020-04-02",48776715.96
"2020-04-03",48802902.17
"2020-04-04",48820297.1
"2020-04-05",48833269.75
"2020-04-06",48842161.55
"2020-04-07",48850960.31
"2020-04-08",48860176.97
"2020-04-09",48880530.4
"2020-04-10",48908318.22
"2020-04-11",48923632.74
"2020-04-12",48939695.09
"2020-04-13",48953456.88
"2020-04-14",48965769.36
"2020-04-15",48978909.78
"2020-04-16",49000559.19
"2020-04-17",49020035.58
"2020-04-18",49058769.5
"2020-04-19",49076108.18
"2020-04-20",49101454.67
"2020-04-21",49140918.89
"2020-04-22",49183701.51
"2020-04-23",49242902.82
"2020-04-24",49282732.82
"2020-04-25",49334953.16
